cabinet,type,name type,scientific name,common name,number,taxonomic classification,taxonomic classifivation
2.04-2.05,a,scientific,archilochus alexandri,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Apodiformes', 'Trochilidae', 'Trochilinae', 'Archilochus', 'Archilochus alexandri']"
2.04-2.05,a,common,gallus gallus domesticus,chicken,,,FIX
2.04-2.05,a,scientific,struthio camelus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Struthioniformes', 'Struthionidae', 'Struthio', 'Struthio camelus', 'Struthio camelus australis', 'Struthio camelus camelus', 'Struthio camelus massaicus', 'Struthio camelus syriacus']"
2.04-2.05,a,scientific,berardius bairdii,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Cetacea', 'Odontoceti', 'Hyperoodontidae', 'Berardius', 'Berardius bairdii']"
2.04-2.05,a,scientific,mirounga leonina,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Carnivora', 'Caniformia', 'Phocidae', 'Mirounga', 'Mirounga leonina']"
2.04-2.05,a,scientific,mustela nivalis,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Carnivora', 'Caniformia', 'Mustelidae', 'Mustelinae', 'Mustela', 'Mustela nivalis', 'Mustela nivalis allegheniensis', 'Mustela nivalis boccamela', 'Mustela nivalis campestris', 'Mustela nivalis caucasica', 'Mustela nivalis eskimo', 'Mustela nivalis formosana', 'Mustela nivalis heptneri', 'Mustela nivalis mosanensis', 'Mustela nivalis namiyei', 'Mustela nivalis nivalis', 'Mustela nivalis numidica', 'Mustela nivalis pallida', 'Mustela nivalis pygmaea', 'Mustela nivalis rixosa', 'Mustela nivalis rossica', 'Mustela nivalis russelliana', 'Mustela nivalis stoliczkana', 'Mustela nivalis subpalmata', 'Mustela nivalis tonkinensis', 'Mustela nivalis vulgaris']"
2.04-2.05,a,scientific,sorex hoyi hoyi,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Eulipotyphla', 'Soricidae', 'Soricinae', 'Soricini', 'Sorex', 'Sorex hoyi', 'Sorex hoyi hoyi']"
2.04-2.05,a,scientific,canis lupus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Carnivora', 'Caniformia', 'Canidae', 'Canis', 'Canis lupus', 'Canis lupus albus', 'Canis lupus arabs', 'Canis lupus arctos', 'Canis lupus baileyi', 'Canis lupus chanco', 'Canis lupus columbianus', 'Canis lupus cubanensis', 'Canis lupus hattai', 'Canis lupus hodophilax', 'Canis lupus italicus', 'Canis lupus lupus', 'Canis lupus nubilus', 'Canis lupus occidentalis', 'Canis lupus pallipes', 'Canis lupus signatus']"
2.04-2.05,a,scientific,felis catus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Carnivora', 'Feliformia', 'Felidae', 'Felinae', 'Felis', 'Felis catus']"
2.04-2.05,a,scientific,elephas maximus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Proboscidea', 'Elephantidae', 'Elephas', 'Elephas maximus', 'Elephas maximus indicus', 'Elephas maximus maximus', 'Elephas maximus sumatranus']"
2.04-2.05,a,scientific,balaenoptera musculus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Cetacea', 'Mysticeti', 'Balaenopteridae', 'Balaenoptera', 'Balaenoptera musculus', 'Balaenoptera musculus brevicauda', 'Balaenoptera musculus indica', 'Balaenoptera musculus intermedia', 'Balaenoptera musculus musculus']"
2.06-2.09,a,scientific,spheniscus mendiculus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Sphenisciformes', 'Spheniscidae', 'Spheniscus', 'Spheniscus mendiculus']"
2.06-2.09,a,scientific,tetrao urogallus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Galliformes', 'Phasianidae', 'Tetrao', 'Tetrao urogallus', 'Tetrao urogallus aquitanicus', 'Tetrao urogallus cantabricus', 'Tetrao urogallus crassirostris', 'Tetrao urogallus kureikensis', 'Tetrao urogallus taczanowskii', 'Tetrao urogallus uralensis', 'Tetrao urogallus urogallus', 'Tetrao urogallus volgensis']"
2.06-2.09,a,scientific,otis tarda,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Otidiformes', 'Otididae', 'Otis', 'Otis tarda', 'Otis tarda dybowskii', 'Otis tarda tarda']"
2.06-2.09,a,scientific,cinnyricinclus leucogaster,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Passeriformes', 'Sturnidae', 'Cinnyricinclus', 'Cinnyricinclus leucogaster', 'Cinnyricinclus leucogaster arabicus', 'Cinnyricinclus leucogaster leucogaster', 'Cinnyricinclus leucogaster verreauxi']"
2.06-2.09,a,scientific,icterus galbula,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Passeriformes', 'Icteridae', 'Icterus', 'Icterus galbula']"
2.06-2.09,a,scientific,lamprotornis nitens,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Passeriformes', 'Sturnidae', 'Lamprotornis', 'Lamprotornis nitens', 'Lamprotornis nitens culminator', 'Lamprotornis nitens nitens', 'Lamprotornis nitens phoenicopterus']"
2.06-2.09,a,scientific,glaucidium gnoma,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Strigiformes', 'Strigidae', 'Surniinae', 'Glaucidium', 'Glaucidium gnoma']"
2.06-2.09,a,scientific,lophophorus impejanus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Galliformes', 'Phasianidae', 'Lophophorus', 'Lophophorus impejanus']"
2.06-2.09,a,scientific,cyanerpes cyaneus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Passeriformes', 'Thraupidae', 'Cyanerpes', 'Cyanerpes cyaneus', 'Cyanerpes cyaneus brevipes', 'Cyanerpes cyaneus carneipes', 'Cyanerpes cyaneus cyaneus', 'Cyanerpes cyaneus dispar', 'Cyanerpes cyaneus eximius', 'Cyanerpes cyaneus gemmeus', 'Cyanerpes cyaneus gigas', 'Cyanerpes cyaneus holti', 'Cyanerpes cyaneus pacificus', 'Cyanerpes cyaneus tobagensis', 'Cyanerpes cyaneus violaceus']"
2.06-2.09,a,scientific,lophura nycthemera,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Galliformes', 'Phasianidae', 'Lophura', 'Lophura nycthemera', 'Lophura nycthemera annamensis', 'Lophura nycthemera beaulieui', 'Lophura nycthemera beli', 'Lophura nycthemera berliozi', 'Lophura nycthemera engelbachi', 'Lophura nycthemera fokiensis', 'Lophura nycthemera jonesi', 'Lophura nycthemera lewisi', 'Lophura nycthemera nycthemera', 'Lophura nycthemera occidentalis', 'Lophura nycthemera omeiensis', 'Lophura nycthemera ripponi', 'Lophura nycthemera rongjiangensis', 'Lophura nycthemera rufipes', 'Lophura nycthemera whiteheadi']"
2.06-2.09,a,scientific,ichthyaetus melanocephalus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Charadriiformes', 'Laridae', 'Ichthyaetus', 'Ichthyaetus melanocephalus']"
2.06-2.09,a,scientific,pavo muticus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Galliformes', 'Phasianidae', 'Pavo', 'Pavo muticus', 'Pavo muticus imperator', 'Pavo muticus muticus', 'Pavo muticus spicifer']"
2.06-2.09,a,scientific,fregata minor,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Suliformes', 'Fregatidae', 'Fregata', 'Fregata minor', 'Fregata minor aldabrensis', 'Fregata minor minor', 'Fregata minor nicolli', 'Fregata minor palmerstoni', 'Fregata minor ridgwayi']"
2.06-2.09,a,scientific,syrmaticus ellioti,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Galliformes', 'Phasianidae', 'Syrmaticus', 'Syrmaticus ellioti']"
2.06-2.09,a,scientific,phoebastria nigripes,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Procellariiformes', 'Diomedeidae', 'Phoebastria', 'Phoebastria nigripes']"
2.06-2.09,a,scientific,polyplectron napoleonis,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Galliformes', 'Phasianidae', 'Polyplectron', 'Polyplectron napoleonis']"
2.06-2.09,a,scientific,tragopan temminckii,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Galliformes', 'Phasianidae', 'Tragopan', 'Tragopan temminckii']"
2.06-2.09,a,scientific,cochlearius cochlearius,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Pelecaniformes', 'Ardeidae', 'Cochlearius', 'Cochlearius cochlearius', 'Cochlearius cochlearius cochlearius', 'Cochlearius cochlearius panamensis', 'Cochlearius cochlearius phillipsi', 'Cochlearius cochlearius ridgwayi', 'Cochlearius cochlearius zeledoni']"
2.06-2.09,a,scientific,garrulus glandarius,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Passeriformes', 'Corvidae', 'Garrulus', 'Garrulus glandarius', 'Garrulus glandarius albipectus', 'Garrulus glandarius anatoliae', 'Garrulus glandarius atricapillus', 'Garrulus glandarius bispecularis', 'Garrulus glandarius brandtii', 'Garrulus glandarius cervicalis', 'Garrulus glandarius corsicanus', 'Garrulus glandarius cretorum', 'Garrulus glandarius fasciatus', 'Garrulus glandarius ferdinandi', 'Garrulus glandarius glandarius', 'Garrulus glandarius glaszneri', 'Garrulus glandarius graecus', 'Garrulus glandarius haringtoni', 'Garrulus glandarius hibernicus', 'Garrulus glandarius hiugaensis', 'Garrulus glandarius hyrcanus', 'Garrulus glandarius ichnusae', 'Garrulus glandarius interstinctus', 'Garrulus glandarius iphigenia', 'Garrulus glandarius japonicus', 'Garrulus glandarius kansuensis', 'Garrulus glandarius krynicki', 'Garrulus glandarius leucotis', 'Garrulus glandarius minor', 'Garrulus glandarius oatesi', 'Garrulus glandarius orii', 'Garrulus glandarius pekingensis', 'Garrulus glandarius rufitergum', 'Garrulus glandarius samios', 'Garrulus glandarius sinensis', 'Garrulus glandarius taivanus', 'Garrulus glandarius tokugawae', 'Garrulus glandarius whitakeri']"
2.06-2.09,a,scientific,mergus merganser,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Anseriformes', 'Anatidae', 'Mergus', 'Mergus merganser', 'Mergus merganser americanus', 'Mergus merganser merganser', 'Mergus merganser orientalis']"
2.06-2.09,a,scientific,apus apus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Apodiformes', 'Apodidae', 'Apodinae', 'Apus', 'Apus apus', 'Apus apus apus', 'Apus apus pekinensis']"
2.06-2.09,a,scientific,aptenodytes forsteri,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Sphenisciformes', 'Spheniscidae', 'Aptenodytes', 'Aptenodytes forsteri']"
2.06-2.09,a,scientific,tyto alba,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Strigiformes', 'Tytonidae', 'Tytoninae', 'Tyto', 'Tyto alba', 'Tyto alba alba', 'Tyto alba detorta', 'Tyto alba erlangeri', 'Tyto alba ernesti', 'Tyto alba gracilirostris', 'Tyto alba guttata', 'Tyto alba hypermetra', 'Tyto alba poensis', 'Tyto alba schmitzi', 'Tyto alba thomensis']"
2.06-2.09,a,scientific,haliaeetus leucocephalus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Accipitriformes', 'Accipitridae', 'Haliaeetus', 'Haliaeetus leucocephalus', 'Haliaeetus leucocephalus leucocephalus', 'Haliaeetus leucocephalus washingtoniensis']"
2.06-2.09,a,scientific,terpsiphone paradisi,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Passeriformes', 'Monarchidae', 'Terpsiphone', 'Terpsiphone paradisi', 'Terpsiphone paradisi affinis', 'Terpsiphone paradisi borneensis', 'Terpsiphone paradisi burmae', 'Terpsiphone paradisi ceylonensis', 'Terpsiphone paradisi floris', 'Terpsiphone paradisi incei', 'Terpsiphone paradisi indochinensis', 'Terpsiphone paradisi insularis', 'Terpsiphone paradisi leucogaster', 'Terpsiphone paradisi nicobarica', 'Terpsiphone paradisi paradisi', 'Terpsiphone paradisi procera', 'Terpsiphone paradisi saturatior', 'Terpsiphone paradisi sumbaensis']"
2.06-2.09,a,scientific,turaco leucotis,,,,FIX
2.06-2.09,a,scientific,recurvirostra avosetta,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Charadriiformes', 'Recurvirostridae', 'Recurvirostra', 'Recurvirostra avosetta']"
2.06-2.09,a,scientific,cyanocitta cristata,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Passeriformes', 'Corvidae', 'Cyanocitta', 'Cyanocitta cristata', 'Cyanocitta cristata bromia', 'Cyanocitta cristata cristata', 'Cyanocitta cristata cyanotephra', 'Cyanocitta cristata semplei']"
2.06-2.09,a,scientific,plegadis falcinellus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Pelecaniformes', 'Threskiornithidae', 'Plegadis', 'Plegadis falcinellus']"
2.06-2.09,a,common,platycercus eximius x icterotis,eastern rosella,,,FIX
2.06-2.09,a,scientific,upupa epops,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Bucerotiformes', 'Upupidae', 'Upupa', 'Upupa epops', 'Upupa epops ceylonensis', 'Upupa epops epops', 'Upupa epops longirostris', 'Upupa epops major', 'Upupa epops senegalensis', 'Upupa epops waibeli']"
2.06-2.09,a,scientific,tauraco erythrolophus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Musophagiformes', 'Musophagidae', 'Tauraco', 'Tauraco erythrolophus']"
2.06-2.09,a,scientific,puffinus subalaris,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Procellariiformes', 'Procellariidae', 'Puffinus', 'Puffinus subalaris']"
2.06-2.09,a,scientific,eurystomus glaucurus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Coraciiformes', 'Coraciidae', 'Eurystomus', 'Eurystomus glaucurus', 'Eurystomus glaucurus aethiopicus', 'Eurystomus glaucurus afer', 'Eurystomus glaucurus glaucurus', 'Eurystomus glaucurus suahelicus']"
2.06-2.09,a,scientific,merops apiaster,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Coraciiformes', 'Meropidae', 'Merops', 'Merops apiaster']"
2.06-2.09,a,scientific,sula dactylatra,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Suliformes', 'Sulidae', 'Sula', 'Sula dactylatra', 'Sula dactylatra dactylatra', 'Sula dactylatra melanops', 'Sula dactylatra personata', 'Sula dactylatra tasmani']"
2.06-2.09,a,scientific,phaethon aethereus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Phaethontiformes', 'Phaethontidae', 'Phaethon', 'Phaethon aethereus', 'Phaethon aethereus aethereus', 'Phaethon aethereus indicus', 'Phaethon aethereus mesonauta']"
2.06-2.09,a,scientific,balearica pavonina,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Gruiformes', 'Gruidae', 'Balearicinae', 'Balearica', 'Balearica pavonina', 'Balearica pavonina ceciliae', 'Balearica pavonina pavonina']"
2.06-2.09,a,scientific,ardea purpurea,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Pelecaniformes', 'Ardeidae', 'Ardea', 'Ardea purpurea', 'Ardea purpurea bournei', 'Ardea purpurea madagascariensis', 'Ardea purpurea manilensis', 'Ardea purpurea purpurea']"
2.06-2.09,a,scientific,antigone canadensis,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Gruiformes', 'Gruidae', 'Gruinae', 'Antigone', 'Antigone canadensis', 'Antigone canadensis canadensis', 'Antigone canadensis nesiotes', 'Antigone canadensis pratensis', 'Antigone canadensis pulla', 'Antigone canadensis tabida']"
2.06-2.09,a,scientific,chloephaga picta,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Anseriformes', 'Anatidae', 'Chloephaga', 'Chloephaga picta', 'Chloephaga picta leucoptera', 'Chloephaga picta picta']"
2.06-2.09,a,scientific,jacana jacana,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Charadriiformes', 'Jacanidae', 'Jacana', 'Jacana jacana', 'Jacana jacana hypomelaena', 'Jacana jacana intermedia', 'Jacana jacana jacana', 'Jacana jacana melanopygia', 'Jacana jacana peruviana', 'Jacana jacana scapularis']"
2.06-2.09,a,scientific,buteo jamaicensis,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Accipitriformes', 'Accipitridae', 'Buteo', 'Buteo jamaicensis', 'Buteo jamaicensis alascensis', 'Buteo jamaicensis borealis', 'Buteo jamaicensis calurus', 'Buteo jamaicensis costaricensis', 'Buteo jamaicensis fuertesi', 'Buteo jamaicensis fumosus', 'Buteo jamaicensis hadropus', 'Buteo jamaicensis harlani', 'Buteo jamaicensis jamaicensis', 'Buteo jamaicensis kemsiesi', 'Buteo jamaicensis socorroensis', 'Buteo jamaicensis suttoni', 'Buteo jamaicensis umbrinus']"
2.06-2.09,a,scientific,gallus gallus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Galliformes', 'Phasianidae', 'Gallus', 'Gallus gallus', 'Gallus gallus bankiva', 'Gallus gallus gallus', 'Gallus gallus jabouillei', 'Gallus gallus murghi', 'Gallus gallus spadiceus']"
2.06-2.09,a,scientific,falco vespertinus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Falconiformes', 'Falconidae', 'Falconinae', 'Falco', 'Falco vespertinus']"
2.06-2.09,a,scientific,melanerpes erythrocephalus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Piciformes', 'Picidae', 'Picinae', 'Melanerpes', 'Melanerpes erythrocephalus']"
2.06-2.09,a,scientific,lagopus lagopus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Accipitriformes', 'Accipitridae', 'Buteo', 'Buteo lagopus', 'Buteo lagopus lagopus']"
2.06-2.09,a,scientific,chloephaga poliocephala,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Anseriformes', 'Anatidae', 'Chloephaga', 'Chloephaga poliocephala']"
2.06-2.09,a,scientific,limnodromus scolopaceus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Charadriiformes', 'Scolopacidae', 'Limnodromus', 'Limnodromus scolopaceus']"
2.06-2.09,a,scientific,psittacara holochlora,,,,FIX
2.06-2.09,a,scientific,alcedo atthis,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Coraciiformes', 'Alcedinidae', 'Alcedininae', 'Alcedo', 'Alcedo atthis', 'Alcedo atthis atthis', 'Alcedo atthis bengalensis', 'Alcedo atthis floresiana', 'Alcedo atthis hispidoides', 'Alcedo atthis ispida', 'Alcedo atthis salomonensis', 'Alcedo atthis taprobana']"
2.10-2.21,a,scientific,tragelaphus strepsiceros,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Bovinae', 'Tragelaphus', 'Tragelaphus strepsiceros', 'Tragelaphus strepsiceros bea', 'Tragelaphus strepsiceros burlacei', 'Tragelaphus strepsiceros chora', 'Tragelaphus strepsiceros strepsiceros', 'Tragelaphus strepsiceros zambesiensis']"
2.10-2.21,a,scientific,taurotragus oryx,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Bovinae', 'Taurotragus', 'Taurotragus oryx', 'Taurotragus oryx livingstonei', 'Taurotragus oryx oryx', 'Taurotragus oryx pattersonianus']"
2.10-2.21,a,scientific,damaliscus pygargus phillipsi,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Alcelaphinae', 'Damaliscus', 'Damaliscus pygargus', 'Damaliscus pygargus phillipsi']"
2.10-2.21,a,common,alcephalus buselaphus lelwel x cokii,lelwel hartebeest,,,FIX
2.10-2.21,a,scientific,connochaetes taurinus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Alcelaphinae', 'Connochaetes', 'Connochaetes taurinus', 'Connochaetes taurinus albojubatus', 'Connochaetes taurinus cooksoni', 'Connochaetes taurinus johnstoni', 'Connochaetes taurinus mearnsi', 'Connochaetes taurinus taurinus']"
2.10-2.21,a,scientific,oryx gazella,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Hippotraginae', 'Oryx', 'Oryx gazella']"
2.10-2.21,a,scientific,phacochoerus africanus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Suidae', 'Suinae', 'Phacochoerini', 'Phacochoerus', 'Phacochoerus africanus', 'Phacochoerus africanus aeliani', 'Phacochoerus africanus africanus', 'Phacochoerus africanus massaicus', 'Phacochoerus africanus sundevallii']"
2.10-2.21,a,scientific,antidorcas marsupialis,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Antilopinae', 'Antidorcas', 'Antidorcas marsupialis', 'Antidorcas marsupialis angolensis', 'Antidorcas marsupialis hofmeyri', 'Antidorcas marsupialis marsupialis']"
2.10-2.21,a,scientific,nanger granti,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Antilopinae', 'Nanger', 'Nanger granti', 'Nanger granti brighti', 'Nanger granti granti', 'Nanger granti notata', 'Nanger granti petersii', 'Nanger granti robertsi']"
2.10-2.21,a,scientific,aepyceros melampus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Aepycerotinae', 'Aepyceros', 'Aepyceros melampus', 'Aepyceros melampus johnstoni', 'Aepyceros melampus katangae', 'Aepyceros melampus melampus', 'Aepyceros melampus petersi', 'Aepyceros melampus rendilis', 'Aepyceros melampus suara']"
2.10-2.21,a,common,eudorcas nasalis,thomson's gazella,,,FIX
