cabinet,type,name type,scientific name,common name,number,taxonomic classification,taxonomic classifivation
1.07,i,scientific,bubalus bubalis,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Bovinae', 'Bubalus', 'Bubalus bubalis', 'Bubalus bubalis arnee', 'Bubalus bubalis bubalis', 'Bubalus bubalis fulvus', 'Bubalus bubalis kerabau', 'Bubalus bubalis migona', 'Bubalus bubalis theerapati']"
1.08,i,scientific,oreamnos americanus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Oreamnos', 'Oreamnos americanus']"
1.08,a,scientific,oreamnos americanus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Oreamnos', 'Oreamnos americanus']"
1.08,a,common,capra aegagrus hircus,goat,,,FIX
1.08,a,scientific,capra ibex,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Capra', 'Capra ibex']"
1.08,a,scientific,ovis aries,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Ovis', 'Ovis aries', 'Ovis aries aries', 'Ovis aries arkal', 'Ovis aries cycloceros', 'Ovis aries isphahanica', 'Ovis aries laristanica', 'Ovis aries musimon', 'Ovis aries ophion', 'Ovis aries orientalis', 'Ovis aries vignei']"
1.09,a,scientific,odobenus rosmarus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Carnivora', 'Caniformia', 'Odobenidae', 'Odobenus', 'Odobenus rosmarus', 'Odobenus rosmarus divergens', 'Odobenus rosmarus rosmarus']"
1.09,a,scientific,didelphis virginiana,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Metatheria', 'Didelphimorphia', 'Didelphidae', 'Didelphinae', 'Didelphini', 'Didelphis', 'Didelphis virginiana', 'Didelphis virginiana californica', 'Didelphis virginiana pigra', 'Didelphis virginiana virginiana', 'Didelphis virginiana yucatanensis']"
1.09,a,scientific,hydrurga leptonyx,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Carnivora', 'Caniformia', 'Phocidae', 'Hydrurga', 'Hydrurga leptonyx']"
1.09,a,common,erethizon dorsatum,north american porcupine,,,FIX
1.09,a,scientific,loxodonta africana,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Proboscidea', 'Elephantidae', 'Loxodonta', 'Loxodonta africana']"
1.09,i,scientific,ovibos moschatus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Ovibos', 'Ovibos moschatus']"
1.10,i,common,bison bison,plains bison,,,FIX
1.11,i,scientific,oreamnos americanus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Oreamnos', 'Oreamnos americanus']"
1.12,i,scientific,oryx dammah,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Hippotraginae', 'Oryx', 'Oryx dammah']"
1.13,a,scientific,mirounga leonina,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Carnivora', 'Caniformia', 'Phocidae', 'Mirounga', 'Mirounga leonina']"
1.13,a,common,rhea,ostrich,,,"['Animalia', 'Bilateria', 'Protostomia', 'Ecdysozoa', 'Nematoda', 'Chromadorea', 'Chromadoria', 'Desmodorida', 'Desmodoridae', 'Eubostrichus', 'Eubostrichus cobbi', 'Eubostrichus exilis', 'Eubostrichus filiformis', 'Eubostrichus guernei', 'Eubostrichus parasitiferus', 'Eubostrichus phalacrus']"
1.13,a,common,,turtle,,,"['Animalia', 'Cnidaria', 'Anthozoa', 'Anthozoa', 'Hexacorallia', 'Scleractinia', 'Astrocoeniina', 'Acroporidae', 'Montipora', 'Montipora turtlensis']"
1.13,a,scientific,phocoena phocoena,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Cetacea', 'Odontoceti', 'Phocoenidae', 'Phocoena', 'Phocoena phocoena', 'Phocoena phocoena phocoena', 'Phocoena phocoena relicta', 'Phocoena phocoena vomerina']"
1.13,i,scientific,ovis dalli dalli,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Ovis', 'Ovis dalli', 'Ovis dalli dalli']"
1.14,i,scientific,ovis dalli stonei,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Ovis', 'Ovis dalli', 'Ovis dalli stonei']"
1.14,a,scientific,ornithorhynchus anatinus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Prototheria', 'Monotremata', 'Ornithorhynchidae', 'Ornithorhynchus', 'Ornithorhynchus anatinus']"
1.14,a,common,crotalus,rattlesnake,,,FIX
1.14,a,common,,bird,,,FIX
1.14,a,common,pholidota manidae,pangolin,,,FIX
1.14,a,scientific,phacochoerus aethiopicus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Suidae', 'Suinae', 'Phacochoerini', 'Phacochoerus', 'Phacochoerus aethiopicus', 'Phacochoerus aethiopicus aethiopicus', 'Phacochoerus aethiopicus delamerei']"
1.14,a,scientific,erinaceus,,,,"['Animalia', 'Porifera', 'Calcarea', 'Calcaronea', 'Leucosolenida', 'Heteropiidae', 'Grantessa', 'Grantessa erinaceus']"
1.15,a,scientific,ovis canadensis,,4.0,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Ovis', 'Ovis canadensis', 'Ovis canadensis auduboni', 'Ovis canadensis californiana', 'Ovis canadensis canadensis', 'Ovis canadensis cremnobates', 'Ovis canadensis mexicana', 'Ovis canadensis nelsoni', 'Ovis canadensis sierrae', 'Ovis canadensis weemsi']"
1.16,i,scientific,ovis canadensis,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Ovis', 'Ovis canadensis', 'Ovis canadensis auduboni', 'Ovis canadensis californiana', 'Ovis canadensis canadensis', 'Ovis canadensis cremnobates', 'Ovis canadensis mexicana', 'Ovis canadensis nelsoni', 'Ovis canadensis sierrae', 'Ovis canadensis weemsi']"
1.16,a,scientific,ovis canadensis,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Ovis', 'Ovis canadensis', 'Ovis canadensis auduboni', 'Ovis canadensis californiana', 'Ovis canadensis canadensis', 'Ovis canadensis cremnobates', 'Ovis canadensis mexicana', 'Ovis canadensis nelsoni', 'Ovis canadensis sierrae', 'Ovis canadensis weemsi']"
1.16,a,scientific,antilocapra americana,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Antilocapridae', 'Antilocapra', 'Antilocapra americana', 'Antilocapra americana peninsularis']"
