cabinet,type,name type,scientific name,common name,number,taxonomic classification
2.01-2.03,a,common,,red-winged blackbird,,
2.01-2.03,a,common,,eastern meadowlark,,
2.01-2.03,a,common,,american redstart,,
2.01-2.03,a,common,,yellow-rumped warbler,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,rusty blackbird,,
2.01-2.03,a,common,,baltimore oriole,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,rusty blackbird,,
2.01-2.03,a,common,,baltimore oriole,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,yellow warbler,,
2.01-2.03,a,common,,ring-necked pheasant,,
2.01-2.03,a,common,,eastern bluebird,,
2.01-2.03,a,common,,peccary,,
2.01-2.03,a,common,,mink,,
2.01-2.03,a,common,,indian cobra,,
2.01-2.03,a,common,,snowshoe hare,,
2.01-2.03,a,scientific,serpentes,snake,,
2.01-2.03,a,common,,moose,,
2.01-2.03,a,common,,gemsbok,,
2.01-2.03,a,common,,diamond dove,,
2.01-2.03,a,common,,pine grosbeak,,
2.01-2.03,a,common,,eurasian bullfinch,,
2.01-2.03,a,common,,wilson's snipe,,
2.01-2.03,a,common,,blue-winged teal,,
2.01-2.03,a,common,,green-winged teal,,
2.01-2.03,a,common,,ruffed grouse,,
2.01-2.03,a,common,,northern bobwhite,,
2.01-2.03,a,common,,ruffed grouse,,
2.01-2.03,a,common,,ruffed grouse,,
2.01-2.03,a,common,,northern bobwhite,,
2.01-2.03,a,common,,ruffed grouse,,
2.01-2.03,a,common,,nine-banded armadillo,,
2.01-2.03,a,common,,monitor lizard,,
2.01-2.03,a,common,,american alligator,,
2.01-2.03,a,common,,american alligator,,
2.01-2.03,a,common,,gibbon,,
2.01-2.03,a,common,,green sea turtle,,
2.01-2.03,a,common,,magnolia warbler,,
2.01-2.03,a,common,,american redstart,,
2.01-2.03,a,common,,yellow warbler,,
2.01-2.03,a,common,,yellow-rumped warbler,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,snow bunting,,
2.01-2.03,a,common,,scarlet tanager,,
2.01-2.03,a,common,,chestnut-sided warbler,,
2.01-2.03,a,common,,baltimore oriole,,
2.01-2.03,a,common,,black-throated green warbler,,
2.01-2.03,a,common,,blackbird,,
2.01-2.03,a,common,,northern bobwhite,,
2.01-2.03,a,common,,bohemian waxwing,,
2.04-2.05,a,scientific,alca torda,,,
2.04-2.05,a,scientific,aepyornis maximus,,,
2.04-2.05,a,scientific,archilochus alexandri,,,
2.04-2.05,a,common,gallus gallus domesticus,chicken,,
2.04-2.05,a,scientific,struthio camelus,,,
2.04-2.05,a,scientific,berardius bairdii,,,
2.04-2.05,a,scientific,mirounga leonina,,,
2.04-2.05,a,scientific,mustela nivalis,,,
2.04-2.05,a,scientific,sorex hoyi hoyi,,,
2.04-2.05,a,scientific,canis lupus,,,
2.04-2.05,a,scientific,felis catus,,,
2.04-2.05,a,scientific,elephas maximus,,,
2.04-2.05,a,scientific,balaenoptera musculus,,,
2.06-2.09,a,scientific,spheniscus mendiculus,,,
2.06-2.09,a,scientific,tetrao urogallus,,,
2.06-2.09,a,scientific,otis tarda,,,
2.06-2.09,a,scientific,cinnyricinclus leucogaster,,,
2.06-2.09,a,scientific,icterus galbula,,,
2.06-2.09,a,scientific,lamprotornis nitens,,,
2.06-2.09,a,scientific,glaucidium gnoma,,,
2.06-2.09,a,scientific,lophophorus impejanus,,,
2.06-2.09,a,scientific,cyanerpes cyaneus,,,
2.06-2.09,a,scientific,lophura nycthemera,,,
2.06-2.09,a,scientific,ichthyaetus melanocephalus,,,
2.06-2.09,a,scientific,pavo muticus,,,
2.06-2.09,a,scientific,fregata minor,,,
2.06-2.09,a,scientific,syrmaticus ellioti,,,
2.06-2.09,a,scientific,phoebastria nigripes,,,
2.06-2.09,a,scientific,polyplectron napoleonis,,,
2.06-2.09,a,scientific,tragopan temminckii,,,
2.06-2.09,a,scientific,cochlearius cochlearius,,,
2.06-2.09,a,scientific,garrulus glandarius,,,
2.06-2.09,a,scientific,mergus merganser,,,
2.06-2.09,a,scientific,apus apus,,,
2.06-2.09,a,scientific,aptenodytes forsteri,,,
2.06-2.09,a,scientific,tyto alba,,,
2.06-2.09,a,scientific,haliaeetus leucocephalus,,,
2.06-2.09,a,scientific,terpsiphone paradisi,,,
